##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458501.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1870525
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1110	18	-0.7144463707816371
1110	19	-0.5551759999827652
1110	20	-0.6682578972815278
1110	21	-0.44238429300820314
1110	22	-0.5957326956264524
1110	23	-0.45535107693711296
1110	24	-0.5197352505376713
1110	25	-0.7037223807769024
1110	26	-0.5033360947817798
1110	27	-0.7995382997990603
1110	28	-0.6385502846861826
1110	29	-0.5772939972411422
1110	30	-0.751624200755181
1110	31	-0.6272743691525164
1110	32	-0.6611155286451691
1110	33	-0.5819428324719098
1110	34	-0.5734077494298049
1110	35	-0.6879324825988604
1110	36	-0.5275464685726661
1110	37	-0.6243094954865
1110	38	-0.4558074766390803
1110	39	-0.5709037702983721
1110	40	-0.552326872807889
1110	41	-0.61649751333902
1110	42	-0.6056954238052583
1110	43	-0.5238033734989855
1110	44	-0.5643800474168899
1110	45	-0.42978278276729753
1110	46	-0.617586475386851
1110	47	-0.8800107878835064
1110	48	-0.7825034105425033
1110	49	-0.8582016416680105
1110	50	-0.7952668218520103
1110	51	-0.9087546829137736
1111	1	-1.568759488666032
1111	2	-3.0291700600264697
1111	3	-2.4714597177258852
1111	4	-4.375088814549141
1111	5	-2.226026986736219
1111	6	-1.2531295057638658
1111	7	-0.9036906881378002
1111	8	-0.7623918112217396
1111	9	-0.6905807652121396
1111	10	-0.6984344631954471
1111	11	-0.6598869520713322
1111	12	-0.7585341765107572
1111	13	-0.7359281451275876
1111	14	-0.9238164685856916
1111	15	-0.7029678569963522
1111	16	-0.9684816116296631
1111	17	-0.882914250070769
1111	18	-0.8536791594820485
1111	19	-0.9265550020826652
1111	20	-0.7914316843757234
1111	21	-0.5410621168038503
1111	22	-0.9547990089605278
1111	23	-0.5707603626728073
1111	24	-0.7289617448400918
1111	25	-0.8021353814416088
1111	26	-0.6206576785722078
1111	27	-1.014646265474319
1111	28	-0.9081293005385405
1111	29	-0.7981420307266376
1111	30	-0.831948476855338
1111	31	-0.8548889686295666
1111	32	-1.0123852515329759
1111	33	-1.249900467823501
1111	34	-0.9401281917655382
1111	35	-0.9722604894962501
1111	36	-0.9971434684192673
1111	37	-1.0958766242712912
1111	38	-1.0590971370765843
1111	39	-1.0907127873320377
1111	40	-0.8974830955343691
1111	41	-1.1133480222684256
1111	42	-1.2107799573938962
1111	43	-1.1719807309449735
1111	44	-1.0450551877184893
1111	45	-1.2305684364766734
1111	46	-1.6408496535112604
1111	47	-1.3546909108094027
1111	48	-1.4508859618365548
1111	49	-1.3557193215211711
1111	50	-1.3030491308910825
1111	51	-1.162329354397329
1112	1	-0.6515927021278074
1112	2	-1.3783325133239046
1112	3	-0.6367892180276193
1112	4	-2.796197428187199
1112	5	-1.6640919774877077
1112	6	-0.9170246561999988
1112	7	-0.6331136003628828
1112	8	-2.503059426142123
1112	9	-1.2108433464559383
1112	10	-0.7910585570575535
1112	11	-0.8629032849734131
1112	12	-0.7828043266342561
1112	13	-0.862044460200778
1112	14	-1.112075201077026
1112	15	-0.9124426051856886
1112	16	-1.1239666376887811
1112	17	-0.9656309862486552
1112	18	-0.9144563630911335
1112	19	-1.1079958832511778
1112	20	-1.0514908019566818
1112	21	-0.5962162544807157
1112	22	-0.6681287622251944
1112	23	-1.1436085073790423
1112	24	-0.856722676286779
1112	25	-0.8792604934080757
1112	26	-0.9019978390464587
1112	27	-0.9560589062608784
1112	28	-1.231885414256105
1112	29	-0.9660851240703181
1112	30	-0.7149695545989232
1112	31	-1.244128897185405
1112	32	-1.3965673505465261
1112	33	-1.3575890761664908
1112	34	-1.4688350187992683
1112	35	-1.070833499851652
1112	36	-1.183980177628726
1112	37	-1.097022817911565
1112	38	-1.0527416219665184
1112	39	-0.7658672894470229
1112	40	-1.1481640053005577
1112	41	-0.937720286526087
1112	42	-0.9766695490767034
1112	43	-1.1027014001962954
1112	44	-1.1330744986517374
1112	45	-1.046706900098421
1112	46	-1.0966431299973252
1112	47	-1.2472706289700994
1112	48	-1.1299274466861107
1112	49	-1.1531774727694284
1112	50	-1.43782478170791
1112	51	-1.2680017623936735
1113	1	-1.7352631110839098
1113	2	-3.1512650690680175
1113	3	-2.8309278196974965
1113	4	-5.547579318671644
1113	5	-3.2567798387216875
1113	6	-1.1460178120756765
1113	7	-0.9358342495655307
1113	8	-2.9358940919078904
1113	9	-1.2473053415870936
1113	10	-1.1232414200937626
1113	11	-0.8437209536927526
1113	12	-0.5310713383550549
1113	13	-0.5602025337760992
1113	14	-0.607196137418974
1113	15	-0.5672828198184021
1113	16	-0.7208850643010791
1113	17	-0.9366879188757053
1113	18	-0.9224335658656528
1113	19	-1.4761159426095318
1113	20	-1.1140453416837772
1113	21	-0.6103462558851049
1113	22	-0.4703526569628167
1113	23	-1.162732141195562
1113	24	-1.570607757087103
1113	25	-1.0601873828903123
1113	26	-0.6828632483699693
1113	27	-1.1676023930380737
1113	28	-0.8156464781845969
1113	29	-1.1606441735018436
1113	30	-1.147899875491433
1113	31	-0.8545925245408554
1113	32	-0.7979401755337321
1113	33	-0.8025341157742361
1113	34	-0.7597896526162273
1113	35	-0.9432682576202609
1113	36	-0.7336884512319557
1113	37	-0.7926168992940745
1113	38	-0.934340575673346
1113	39	-0.48458773690431656
1113	40	-0.7132714499216775
1113	41	-0.7604674235029236
1113	42	-0.8023315586430826
1113	43	-0.7112627949176087
1113	44	-0.9370593173135333
1113	45	-1.060339929639774
1113	46	-0.9790768920830217
1113	47	-0.8972802597021783
1113	48	-0.9322235175648217
1113	49	-0.8543408565086636
1113	50	-0.8706403164483305
1113	51	-0.896962917281499
1114	1	-0.1938800943711243
1114	2	2.195988078785998
